Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.04140, 0, 0, 1, 1, 0, 0, 1, 1
0.04165, 1, 0, 0, 1, 1, 0, 0, 1
0.04170, 1, 1, 1, 0, 1, 0, 1, 0
0.04175, 0, 1, 0, 0, 0, 0, 0, 0
0.04180, 0, 0, 0, 0, 0, 0, 0, 0
0.04220, 0, 1, 0, 0, 1, 0, 0, 0
0.04225, 0, 0, 1, 0, 0, 0, 1, 0
0.04230, 0, 0, 0, 1, 0, 0, 0, 1
0.04235, 0, 1, 0, 1, 0, 0, 0, 1
0.04240, 0, 0, 1, 1, 0, 0, 1, 1
0.04265, 0, 1, 0, 1, 0, 0, 0, 1
0.04270, 0, 0, 1, 0, 0, 0, 1, 0
0.04280, 0, 0, 0, 0, 0, 0, 0, 0
0.04320, 0, 1, 0, 0, 0, 0, 0, 0
0.04325, 1, 1, 1, 0, 1, 0, 1, 0
0.04330, 1, 0, 0, 1, 1, 0, 0, 1
0.04335, 0, 0, 1, 1, 0, 0, 1, 1
0.04365, 1, 0, 0, 1, 1, 0, 0, 1
0.04370, 0, 0, 0, 0, 1, 0, 0, 0
0.04375, 0, 1, 0, 0, 0, 0, 0, 0
0.04380, 0, 0, 0, 0, 0, 0, 0, 0
0.04420, 0, 1, 0, 0, 0, 0, 0, 0
0.04425, 0, 1, 1, 0, 0, 0, 1, 0
0.04430, 0, 0, 0, 1, 0, 0, 0, 1
0.04435, 0, 1, 0, 1, 0, 0, 0, 1
0.04440, 0, 0, 1, 1, 0, 0, 1, 1
0.04465, 1, 0, 0, 1, 0, 0, 0, 1
0.04470, 1, 1, 1, 0, 1, 0, 1, 0
0.04475, 1, 1, 0, 0, 1, 0, 0, 0
0.04480, 1, 0, 0, 0, 1, 0, 0, 0
0.04485, 0, 0, 0, 0, 0, 0, 0, 0
0.04520, 0, 1, 0, 0, 0, 0, 0, 0
0.04525, 0, 1, 1, 0, 0, 0, 1, 0
0.04530, 0, 0, 0, 0, 1, 0, 0, 0
0.04535, 0, 1, 0, 1, 0, 0, 0, 1
0.04540, 0, 0, 1, 1, 0, 0, 1, 1
0.04555, 0, 1, 1, 1, 0, 0, 1, 1
0.04560, 0, 0, 1, 1, 0, 0, 1, 1
0.04570, 0, 1, 1, 0, 0, 0, 1, 0
0.04575, 0, 0, 1, 0, 1, 0, 0, 0
0.04580, 1, 0, 0, 0, 1, 0, 0, 0
0.04585, 0, 0, 0, 0, 0, 0, 0, 0
0.04620, 0, 1, 0, 0, 0, 0, 0, 0
0.04625, 0, 1, 1, 0, 0, 0, 1, 0
0.04630, 0, 0, 0, 1, 0, 0, 0, 1
0.04635, 0, 0, 1, 1, 0, 0, 1, 1
0.04640, 0, 0, 1, 1, 1, 0, 0, 1
0.04645, 0, 0, 1, 1, 0, 0, 1, 1
0.04665, 0, 1, 0, 1, 0, 0, 0, 1
0.04670, 0, 1, 1, 0, 0, 0, 1, 0
0.04675, 1, 1, 0, 0, 1, 0, 0, 0
0.04680, 0, 0, 0, 0, 0, 0, 0, 0
0.04720, 0, 0, 1, 0, 0, 0, 0, 0
0.04725, 0, 1, 1, 0, 0, 0, 1, 0
0.04730, 0, 0, 0, 1, 0, 0, 0, 1
0.04735, 0, 0, 1, 1, 0, 0, 1, 1
0.04765, 1, 0, 0, 1, 1, 0, 0, 1
0.04770, 1, 1, 1, 0, 1, 0, 1, 0
0.04775, 0, 1, 0, 0, 0, 0, 0, 0
0.04780, 1, 0, 0, 0, 1, 0, 0, 0
0.04785, 0, 0, 0, 0, 0, 0, 0, 0
0.04820, 0, 1, 0, 0, 0, 0, 0, 0
0.04825, 0, 1, 1, 0, 0, 0, 1, 0
0.04830, 1, 1, 1, 0, 1, 0, 1, 0
0.04835, 0, 1, 0, 1, 0, 0, 0, 1
0.04840, 0, 0, 1, 1, 0, 0, 1, 1
0.04865, 0, 1, 0, 1, 0, 0, 0, 1
0.04870, 0, 1, 1, 0, 0, 0, 1, 0
0.04875, 1, 0, 1, 0, 1, 0, 1, 0
0.04880, 0, 0, 0, 0, 0, 0, 0, 0
0.04920, 0, 0, 1, 0, 0, 0, 0, 0
0.04925, 0, 0, 1, 0, 0, 0, 1, 0
0.04930, 1, 0, 0, 1, 1, 0, 0, 1
0.04935, 0, 1, 0, 1, 0, 0, 0, 1
0.04940, 0, 0, 1, 1, 0, 0, 1, 1
0.04965, 1, 0, 0, 1, 1, 0, 0, 1
0.04970, 0, 0, 1, 0, 0, 0, 1, 0
0.04975, 1, 1, 0, 0, 1, 0, 0, 0
0.04980, 0, 0, 0, 0, 0, 0, 0, 0
0.05020, 0, 1, 0, 0, 0, 0, 0, 0
0.05025, 0, 1, 1, 0, 0, 0, 1, 0
0.05030, 0, 0, 0, 1, 0, 0, 0, 1
0.05035, 1, 1, 0, 1, 1, 0, 0, 1
0.05040, 0, 0, 1, 1, 0, 0, 1, 1
0.05065, 0, 0, 0, 1, 0, 0, 0, 1
0.05070, 0, 1, 1, 0, 0, 0, 1, 0
0.05075, 0, 1, 0, 0, 0, 0, 0, 0
0.05080, 0, 0, 0, 0, 0, 0, 0, 0
0.05120, 0, 1, 0, 0, 0, 0, 0, 0
